,Year,Average temperature (degrees C),Average wind Speed (km/h),Average visibility (km),Yearly Average of Daily Volume,BICYCLE COLLISIONS,MOTORCYCLE COLLISIONS,PEDESTRIAN COLLISIONS,Total Collisions,Total Fatalities,FATALITIES: INTERSECTION,FATALITIES: MIDBLOCK,INJURIES: INTERSECTION,INJURIES: MIDBLOCK,FATAL COLLISIONS,SERIOUS INJURY COLLISIONS,MINOR INJURY COLLISIONS,TOTAL SERIOUS & MINOR INJURY COLLISIONS,TOTAL FATAL & INJURY COLLISIONS,RATIO FATALITIES + INJURIES
0,2010,3.352347104990375,11.053013475492374,15.908633200059233,,182,211,306,28480,27,13,14,3314,1307,24,423,3345,3768,3792,0.13314606741573035
1,2011,3.4454159212880144,13.142069171138939,16.60075283243888,12193.134872417982,190,199,316,23442,22,12,9,3010,1256,22,389,3093,3482,3504,0.14947530074225748
2,2012,4.414667006889513,12.638326103597857,16.16704771625415,11896.012759170653,177,157,296,23243,27,5,22,3003,1200,26,426,2937,3363,3389,0.14580733984425417
3,2013,2.4104339488932425,12.647421734961858,18.0627871107591,11975.502905677246,177,172,298,24805,23,11,12,2825,1127,23,375,2848,3223,3246,0.13086071356581333
4,2014,2.810969708515908,12.625795389598018,18.412173747380454,12330.21978021978,177,163,319,24627,23,10,13,2515,1028,22,345,2567,2912,2934,0.11913753197709831
5,2015,4.941236219497089,12.33206366902019,18.046739130434784,13160.213271515502,178,208,316,25516,32,18,13,2727,948,30,329,2704,3033,3063,0.12004232638344568
6,2016,4.812859674560981,12.175092637344934,17.538098920573546,12688.032454361055,171,191,292,23139,22,11,10,2368,778,21,281,2375,2656,2677,0.11569212152642724
7,2017,3.731349716932579,12.627637673700463,17.347944544518786,11896.841581696095,143,154,270,23905,27,13,13,2393,822,26,297,2413,2710,2736,0.11445304329638151
8,2018,1.7851950452948788,12.31517840635977,17.535189498983176,11064.12249705536,130,143,250,24003,19,8,11,2302,848,19,287,2323,2610,2629,0.10952797566970796
9,2019,2.4798268492356734,12.07512859523292,18.84868144606245,11392.13191990577,130,104,221,21943,14,8,6,1813,613,14,244,1822,2066,2080,0.0947910495374379
10,2020,3.0199656408724227,13.090864953689872,19.538691365401853,9784.876325088338,115,119,125,15804,12,2,10,1321,456,9,192,1327,1519,1528,0.09668438370032903
11,2021,3.6607504401408444,12.821596244131456,19.390129841549292,10519.458186101296,158,121,165,17363,16,6,9,1507,472,15,230,1444,1674,1689,0.09727581639117663
12,2022,3.5305042264596027,13.04260861018282,21.74837821898958,10990.600706713782,157,142,213,20162,14,6,8,3571,1026,13,301,3283,3584,3597,0.17840492014681084
13,2023,5.454860233533842,12.526967598443107,21.012844361320326,,181,150,260,20039,24,12,12,7741,3147,21,304,7581,7885,7906,0.39453066520285446
